Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000001,16,2,1,1445,1,2,1,8,3,5
201600000002,16,3,16,1800,1,2,6,1,6,5
201600000003,16,7,13,1900,1,1,1,1,6,11
201600000004,16,8,15,1930,2,2,1,7,3,477
201600000005,16,12,23,1100,1,2,3,1,3,11
201600000006,16,12,23,1115,1,2,1,7,6,11
201600000007,16,5,1,1145,1,2,1,7,2,51
201600000008,16,5,14,1915,2,1,1,1,1,250
201600000009,16,9,23,1900,1,2,1,1,3,51
201600000010,16,12,30,1030,1,1,1,9,6,303
201600000011,16,1,25,800,2,2,1,8,6,466
201600000012,16,1,28,1815,3,1,1,1,7,197
201600000013,16,2,5,1600,1,2,1,1,6,466
201600000014,16,4,17,1230,1,2,1,1,5,398
201600000015,16,8,17,1930,1,1,6,7,5,466
201600000016,16,9,8,815,1,1,1,1,5,34
201600000017,16,11,8,715,3,1,1,8,6,71
201600000018,16,11,28,745,2,2,1,5,3,398
201600000019,16,5,6,1915,1,1,1,1,5,592
201600000020,16,9,5,2030,5,2,6,2,3,452
201600000021,16,10,14,1145,1,2,1,1,6,592
201600000022,16,4,2,1045,1,1,2,1,3,402
201600000023,16,11,7,1515,1,1,1,3,6,94
201600000024,16,11,12,915,3,1,1,2,6,94
201600000025,16,12,4,530,3,1,1,9,7,532
201600000026,16,12,6,1145,1,2,1,7,6,94
201600000027,16,12,15,1345,1,2,1,1,6,94
201600000028,16,12,9,1900,3,1,1,1,3,576
201600000029,16,12,28,2015,3,1,1,5,1,358
201600000030,16,5,6,1700,1,2,1,1,6,337
201600000031,16,9,28,2000,1,1,1,1,2,663
201600000032,16,11,1,1115,1,1,1,1,2,338
201600000033,16,1,7,900,1,2,3,3,6,120
201600000034,16,1,14,1330,1,1,1,1,1,416
201600000035,16,2,9,2145,5,1,1,2,6,416
201600000036,16,2,8,1745,3,1,1,6,1,497
201600000037,16,3,6,330,3,1,1,1,6,87
201600000038,16,4,5,1545,1,1,1,1,3,590
201600000039,16,5,12,2100,1,2,1,1,6,416
201600000040,16,5,29,615,2,2,1,1,6,497
201600000041,16,6,10,830,1,1,1,1,3,497
201600000042,16,7,27,1600,1,1,1,1,6,577
201600000043,16,9,1,545,5,2,1,1,6,497
201600000044,16,11,5,1445,1,1,1,1,6,634
201600000045,16,11,18,1800,5,2,1,2,6,84
201600000046,16,11,27,2230,3,1,1,1,6,184
201600000047,16,4,20,1330,1,1,2,1,3,401
201600000048,16,7,4,1830,1,1,1,1,7,401
201600000049,16,8,7,230,4,2,1,1,7,237
201600000050,16,9,8,1000,1,1,1,1,3,535
201600000051,16,4,29,1545,1,1,1,1,1,581
201600000052,16,6,1,1530,1,2,1,2,3,268
201600000053,16,6,17,130,3,1,1,2,7,212
201600000054,16,8,25,1130,1,1,1,1,1,581
201600000055,16,9,18,1645,1,1,1,2,7,43
201600000056,16,10,18,745,2,1,1,1,6,581
201600000057,16,12,19,715,3,1,1,5,1,180
201600000058,16,3,10,400,3,2,1,1,6,615
201600000059,16,6,29,1845,1,1,1,2,6,400
201600000060,16,9,17,1330,1,2,1,1,3,400
201600000061,16,12,7,2000,5,2,9,1,6,400
201600000062,16,12,14,1715,3,2,1,1,6,400
201600000063,16,1,12,1145,1,1,2,1,3,453
201600000064,16,1,24,100,3,1,1,2,7,54
201600000065,16,4,27,1945,1,1,1,2,6,135
201600000066,16,6,27,1545,1,1,1,1,1,546
201600000067,16,7,6,1415,1,1,1,1,2,135
201600000068,16,8,9,2200,3,1,2,1,3,318
201600000069,16,8,22,1045,1,1,1,1,6,119
201600000070,16,9,21,1345,1,2,6,1,3,546
201600000071,16,10,6,1930,5,2,1,1,1,262
201600000072,16,10,25,2145,3,1,1,5,6,587
201600000073,16,9,27,2100,5,2,2,1,3,44
201600000074,16,11,26,200,3,1,1,1,6,44
201600000075,16,12,3,1745,5,2,1,1,1,13
201600000076,16,3,29,1615,1,2,1,1,2,42
201600000077,16,4,21,830,1,1,1,1,3,523
201600000078,16,7,23,600,2,1,1,1,7,419
201600000079,16,10,2,930,1,1,1,3,6,523
201600000080,16,1,2,2100,3,1,1,2,6,643
201600000081,16,1,22,1130,1,1,2,1,3,643
201600000082,16,3,20,1615,1,2,1,1,5,482
201600000083,16,4,2,815,1,2,8,1,3,482
201600000084,16,4,2,200,3,1,1,1,2,252
201600000085,16,4,15,1000,1,1,1,1,6,611
201600000086,16,4,16,1030,1,2,1,1,6,482
201600000087,16,5,30,1145,1,1,6,2,2,173
201600000088,16,8,9,1345,1,2,6,1,3,252
201600000089,16,9,10,530,3,1,1,1,1,252
201600000090,16,12,24,530,5,1,1,1,6,173
201600000091,16,1,9,1600,1,1,9,1,7,166
201600000092,16,4,5,1015,1,1,1,1,6,559
201600000093,16,8,8,2315,5,1,1,1,6,221
201600000094,16,10,1,1515,1,1,1,1,3,471
201600000095,16,4,4,1530,1,1,1,1,1,313
201600000096,16,11,30,1745,3,1,1,1,3,348
201600000097,16,3,15,1730,1,2,1,1,6,434
201600000098,16,8,28,1430,1,1,1,1,1,238
201600000099,16,2,4,2115,5,2,1,1,6,374
201600000100,16,3,9,2000,5,2,1,1,6,36
201600000101,16,4,14,1400,1,1,1,1,5,35
201600000102,16,6,19,1515,1,1,1,1,1,534
201600000103,16,8,16,1345,2,1,1,1,7,181
201600000104,16,11,25,930,1,2,1,1,1,35
201600000105,16,12,23,1945,3,1,1,2,7,406
201600000106,16,1,6,1230,1,2,1,1,6,12
201600000107,16,3,20,300,3,2,1,1,7,12
201600000108,16,5,28,2030,2,1,1,1,3,12
201600000109,16,8,12,1715,1,1,1,1,1,249
